section	source_file	source_sha256	dataset	scope	module_id	donor_id	normal_score	adenoma_score	difference	direction	contrast	effect	effect_unit	ci_low	ci_high	p_value	FDR	n_donors	donor_ids	inferential_unit	model	adjustment_set	direction_by_donor	status	audit_id	category	nested_unit	n_donors_or_units	degrees_of_freedom	model_or_formula	effect_definition	ci_and_p_algorithm	multiplicity_family	multiplicity_method	pairing_batch_covariates	audit_result	evidence	limitations
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M02	A014	5.62505207727138	6.91085621929146	1.28580414202007	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M02	A015	6.74123471472497	6.9599994283955	0.21876471367053	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Cycling_SB_M01	A001	7.60420967696995	6.98458068001586	-0.619628996954086	decreased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Cycling_SB_M01	A002	7.49979198196656	6.88389476173666	-0.615897220229903	decreased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Cycling_SB_M01	A014	7.86621497990783	6.36444413910044	-1.5017708408074	decreased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Cycling_SB_M01	A015	7.07717330614804	6.80190507490415	-0.275268231243889	decreased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Cycling_SB_M02	A001	5.08530159795952	5.85818030213923	0.77287870417971	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Cycling_SB_M02	A002	5.21042367458237	5.79460601683809	0.584182342255715	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Cycling_SB_M02	A014	4.72856484790608	6.37728987170321	1.64872502379713	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Cycling_SB_M02	A015	5.59450145371752	6.38384043383092	0.789338980113393	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M10	A001	4.8274681595708	5.57030333152113	0.74283517195033	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
