section	source_file	source_sha256	module_id	early_condition	late_condition	n_donors	effect	ci_low	ci_high	standardized_effect	p_value	lodo_sign_stability	max_absolute_donor_contribution	donor_ids	cohort	contrast	fdr	expected_discovery_effect	expected_direction	direction_concordant	strong_opposite	donor_robust	discovery_epithelial_state	evidence_hierarchy	GSE161277_normal_to_adenoma_effect	GSE161277_normal_to_adenoma_ci_low	GSE161277_normal_to_adenoma_ci_high	GSE161277_normal_to_adenoma_fdr	GSE161277_normal_to_adenoma_direction_concordant	GSE161277_normal_to_adenoma_lodo	GSE132465_normal_to_cancer_effect	GSE132465_normal_to_cancer_ci_low	GSE132465_normal_to_cancer_ci_high	GSE132465_normal_to_cancer_fdr	GSE132465_normal_to_cancer_direction_concordant	GSE132465_normal_to_cancer_lodo	epithelial_specificity_effect	epithelial_specificity_ci_low	epithelial_specificity_ci_high	epithelial_specificity_fdr	epithelial_specificity_positive	epithelial_specificity_lodo	strong_opposite_effect	replication_class	validation_gene_reselection	donor_id	difference	n_conditions
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Cycling_SB_M02	median_non_epithelial	epithelial	23	0.522886119129734	0.458605207622644	0.587167030636825	3.51757479076283	4.52001357049618e-14	1	0.0708918600938374	SMC01;SMC02;SMC03;SMC04;SMC05;SMC06;SMC07;SMC08;SMC09;SMC10;SMC11;SMC14;SMC15;SMC16;SMC17;SMC18;SMC19;SMC20;SMC21;SMC22;SMC23;SMC24;SMC25	GSE132465	epithelial_specificity	2.71200814229771e-13	1	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M02	median_non_epithelial	epithelial	23	0.581356338104338	0.44068748441337	0.722025191795307	1.78715704280472	1.84501905897677e-08	1	0.0855490551617365	SMC01;SMC02;SMC03;SMC04;SMC05;SMC06;SMC07;SMC08;SMC09;SMC10;SMC11;SMC14;SMC15;SMC16;SMC17;SMC18;SMC19;SMC20;SMC21;SMC22;SMC23;SMC24;SMC25	GSE132465	epithelial_specificity	1.84501905897677e-08	1	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M10	median_non_epithelial	epithelial	23	0.449147120419152	0.387829656466601	0.510464584371703	3.16754423788555	3.80705431902361e-13	1	0.0763584003277088	SMC01;SMC02;SMC03;SMC04;SMC05;SMC06;SMC07;SMC08;SMC09;SMC10;SMC11;SMC14;SMC15;SMC16;SMC17;SMC18;SMC19;SMC20;SMC21;SMC22;SMC23;SMC24;SMC25	GSE132465	epithelial_specificity	1.14211629570708e-12	1	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M12	median_non_epithelial	epithelial	23	0.321234786737854	0.252372650562464	0.390096922913245	2.01725282380541	2.19701549004053e-09	1	0.0801789315890683	SMC01;SMC02;SMC03;SMC04;SMC05;SMC06;SMC07;SMC08;SMC09;SMC10;SMC11;SMC14;SMC15;SMC16;SMC17;SMC18;SMC19;SMC20;SMC21;SMC22;SMC23;SMC24;SMC25	GSE132465	epithelial_specificity	2.63641858804864e-09	1	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
single_cell_effects	results_final/stage_7_replication_effects_all.tsv	043d4df61220dda88f7002ae29026d1b833e97f8cebf03c47a6e5a2de2ea7f29	Stem_progenitor_SB_M16	median_non_epithelial	epithelial	23	0.649280419688797	0.535047544202967	0.763513295174628	2.45787306739734	5.59821736739122e-11	1	0.0666082487647183	SMC01;SMC02;SMC03;SMC04;SMC05;SMC06;SMC07;SMC08;SMC09;SMC10;SMC11;SMC14;SMC15;SMC16;SMC17;SMC18;SMC19;SMC20;SMC21;SMC22;SMC23;SMC24;SMC25	GSE132465	epithelial_specificity	1.11964347347824e-10	1	1	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
replication_summary	results_final/stage_7_replication_summary.tsv	656f8544d068c3c853a71bb950171a238abffee4a3b5b186a5b608c55b087ad5	Cycling_SB_M01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Cycling	secondary_exploratory_locked_module	-0.42336159512059	-1.38022625730435	0.53350306706317	0.284444695163678	TRUE	1	-0.773102298641274	-1.17757314288506	-0.368631454397486	0.00327966502594782	TRUE	1	0.487584786623405	0.390301192285786	0.584868380961025	8.91890663019455e-10	TRUE	1	FALSE	replicated	FALSE	NA	NA	NA
replication_summary	results_final/stage_7_replication_summary.tsv	656f8544d068c3c853a71bb950171a238abffee4a3b5b186a5b608c55b087ad5	Cycling_SB_M02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Cycling	secondary_exploratory_locked_module	0.244369473741394	-0.303519335720648	0.792258283203436	0.284444695163678	TRUE	1	0.445051916293867	0.346076716967382	0.544027115620353	8.55425278257077e-05	TRUE	1	0.522886119129734	0.458605207622644	0.587167030636825	2.71200814229771e-13	TRUE	1	FALSE	replicated	FALSE	NA	NA	NA
replication_summary	results_final/stage_7_replication_summary.tsv	656f8544d068c3c853a71bb950171a238abffee4a3b5b186a5b608c55b087ad5	Stem_progenitor_SB_M02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Stem_progenitor	secondary_exploratory_locked_module	1.64533236894036	0.592406218166863	2.69825851971386	0.128481483122143	TRUE	1	1.05599064921351	0.722076522690608	1.38990477573642	0.000419603593194617	TRUE	1	0.581356338104338	0.44068748441337	0.722025191795307	1.84501905897677e-08	TRUE	1	FALSE	replicated	FALSE	NA	NA	NA
replication_summary	results_final/stage_7_replication_summary.tsv	656f8544d068c3c853a71bb950171a238abffee4a3b5b186a5b608c55b087ad5	Stem_progenitor_SB_M10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Stem_progenitor	secondary_exploratory_locked_module	0.296852914075654	-0.468372071011639	1.06207789916295	0.284444695163678	TRUE	1	0.373017397325321	0.23545980917665	0.510574985473992	0.000544572675275935	TRUE	1	0.449147120419152	0.387829656466601	0.510464584371703	1.14211629570708e-12	TRUE	1	FALSE	replicated	FALSE	NA	NA	NA
replication_summary	results_final/stage_7_replication_summary.tsv	656f8544d068c3c853a71bb950171a238abffee4a3b5b186a5b608c55b087ad5	Stem_progenitor_SB_M12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Stem_progenitor	secondary_exploratory_locked_module	0.170337630096262	-0.550341858136689	0.891017118329213	0.416176205436284	TRUE	1	-0.13366061944847	-0.328416855036436	0.0610956161394966	0.148654370138722	FALSE	1	0.321234786737854	0.252372650562464	0.390096922913245	2.63641858804864e-09	TRUE	1	FALSE	directionally consistent but underpowered	FALSE	NA	NA	NA
