cohort_or_context	geneset_id	canonical_module_size	mapped_size	gene	gene_order	weight	role	hash_or_provenance
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	LMCD1-AS1	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	NKD1	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	PARP8	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	PTK7	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	RNF43	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	SNTB1	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	SPATA6L	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	TBX3	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	TBXAS1	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	TRAF5	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
CANONICAL_SENSITIVITY	M02_MINUS_INPP5D_SENS_V1	36	35	TSPAN5	NA	1/35	prespecified contamination sensitivity	results/stage10c/M02_MINUS_INPP5D_SENS_V1_SHA256.txt
